Ticker,Company,CIK,Sector,CatalystType,CatalystDate,CatalystPrimaryLink,CatalystEvidencePrimaryLinks,CatalystEvidenceSecondaryLinks,HasDilutionFlag,DilutionForms,DilutionLinks,DilutionNotes,RunwayCash,RunwayQuarterlyBurn,RunwayQuarters,RunwayNotes,LatestForm,FiledAt,FilingURL,FilingsSummary,FilingURLsAll,FDA_EventType,FDA_Date,FDA_URL,FDA_URLsAll,FDA_Summary
ABEO,Abeona Therapeutics Inc.,0000318306,Healthcare,Corporate event / guidance / financing,2025-08-14,https://www.sec.gov/ix?doc=/Archives/edgar/data/318306/000164117225023715/ex99-1.htm,https://www.sec.gov/ix?doc=/Archives/edgar/data/318306/000164117225023715/ex99-1.htm; https://www.sec.gov/ix?doc=/Archives/edgar/data/318306/000164117225023716/form10-q.htm; https://www.sec.gov/ix?doc=/Archives/edgar/data/318306/000164117225020227/form8-k.htm; https://www.sec.gov/ix?doc=/Archives/edgar/data/318306/000164117225017460/ex99-1.htm; https://www.sec.gov/ix?doc=/Archives/edgar/data/318306/000164117225011452/form8-k.htm; https://www.sec.gov/ix?doc=/Archives/edgar/data/318306/000164117225010516/form10-q.htm; https://www.sec.gov/ix?doc=/Archives/edgar/data/318306/000164117225010514/ex99-1.htm; https://www.sec.gov/ix?doc=/Archives/edgar/data/318306/000164117225009564/ex99-1.htm; https://www.sec.gov/ix?doc=/Archives/edgar/data/318306/000164117225006584/ex99-1.htm; https://www.sec.gov/ix?doc=/Archives/edgar/data/318306/000164117225006548/ex99-1.htm; https://www.sec.gov/ix?doc=/Archives/edgar/data/318306/000164117225003411/formdef14a.htm; https://www.sec.gov/ix?doc=/Archives/edgar/data/318306/000149315225010981/ex99-1.htm; https://www.sec.gov/ix?doc=/Archives/edgar/data/318306/000149315225010978/form10-k.htm; https://www.sec.gov/ix?doc=/Archives/edgar/data/318306/000149315225001051/forms-8.htm; https://www.sec.gov/Archives/edgar/data/318306/000149315224051060/0001493152-24-051060.txt; https://www.sec.gov/ix?doc=/Archives/edgar/data/318306/000149315224045338/ex99-1.htm; https://www.sec.gov/ix?doc=/Archives/edgar/data/318306/000149315224044862/formdef14a.htm; https://www.sec.gov/ix?doc=/Archives/edgar/data/318306/000149315224042775/ex99-1.htm,,TRUE,S-8,https://www.sec.gov/ix?doc=/Archives/edgar/data/318306/000149315225001051/forms-8.htm,Recent dilution-related filings: S-8,,,,TODO: parse 10-Q/10-K to compute runway,8-K,2025-08-14,https://www.sec.gov/ix?doc=/Archives/edgar/data/318306/000164117225023715/ex99-1.htm,"2025-08-14 | 10-Q | https://www.sec.gov/ix?doc=/Archives/edgar/data/318306/000164117225023716/form10-q.htm | nan
2024-10-29 | 8-K | https://www.sec.gov/ix?doc=/Archives/edgar/data/318306/000149315224042775/ex99-1.htm | nan",https://www.sec.gov/ix?doc=/Archives/edgar/data/318306/000164117225023716/form10-q.htm; https://www.sec.gov/ix?doc=/Archives/edgar/data/318306/000164117225023715/ex99-1.htm; https://www.sec.gov/ix?doc=/Archives/edgar/data/318306/000164117225020227/form8-k.htm; https://www.sec.gov/ix?doc=/Archives/edgar/data/318306/000164117225017460/ex99-1.htm; https://www.sec.gov/ix?doc=/Archives/edgar/data/318306/000164117225011452/form8-k.htm; https://www.sec.gov/ix?doc=/Archives/edgar/data/318306/000164117225010516/form10-q.htm; https://www.sec.gov/ix?doc=/Archives/edgar/data/318306/000164117225010514/ex99-1.htm; https://www.sec.gov/ix?doc=/Archives/edgar/data/318306/000164117225009564/ex99-1.htm; https://www.sec.gov/ix?doc=/Archives/edgar/data/318306/000164117225006584/ex99-1.htm; https://www.sec.gov/ix?doc=/Archives/edgar/data/318306/000164117225006548/ex99-1.htm; https://www.sec.gov/ix?doc=/Archives/edgar/data/318306/000164117225003411/formdef14a.htm; https://www.sec.gov/ix?doc=/Archives/edgar/data/318306/000149315225010981/ex99-1.htm; https://www.sec.gov/ix?doc=/Archives/edgar/data/318306/000149315225010978/form10-k.htm; https://www.sec.gov/ix?doc=/Archives/edgar/data/318306/000149315225001051/forms-8.htm; https://www.sec.gov/Archives/edgar/data/318306/000149315224051060/0001493152-24-051060.txt; https://www.sec.gov/ix?doc=/Archives/edgar/data/318306/000149315224045338/ex99-1.htm; https://www.sec.gov/ix?doc=/Archives/edgar/data/318306/000149315224044862/formdef14a.htm; https://www.sec.gov/ix?doc=/Archives/edgar/data/318306/000149315224042775/ex99-1.htm,,,,,
ABOS,"Acumen Pharmaceuticals, Inc.",0001576885,Healthcare,Corporate event / guidance / financing,2025-08-12,https://www.sec.gov/ix?doc=/Archives/edgar/data/1576885/000157688525000091/abos-20250812xexx991.htm,https://www.sec.gov/ix?doc=/Archives/edgar/data/1576885/000157688525000091/abos-20250812xexx991.htm; https://www.sec.gov/ix?doc=/Archives/edgar/data/1576885/000157688525000093/abos-20250630.htm; https://www.sec.gov/ix?doc=/Archives/edgar/data/1576885/000157688525000087/acumen_ncxcorporatexdeck.htm; https://www.sec.gov/ix?doc=/Archives/edgar/data/1576885/000157688525000072/abos-20250604.htm; https://www.sec.gov/ix?doc=/Archives/edgar/data/1576885/000157688525000065/abos-20250331.htm; https://www.sec.gov/ix?doc=/Archives/edgar/data/1576885/000157688525000062/abos-20250513xexx991.htm; https://www.sec.gov/ix?doc=/Archives/edgar/data/1576885/000157688525000057/abos-20250422.htm; https://www.sec.gov/ix?doc=/Archives/edgar/data/1576885/000157688525000051/acumenpharma-sx82025.htm; https://www.sec.gov/ix?doc=/Archives/edgar/data/1576885/000157688525000049/abos-20241231.htm; https://www.sec.gov/ix?doc=/Archives/edgar/data/1576885/000157688525000044/abos-20250327.htm,,TRUE,S-8,https://www.sec.gov/ix?doc=/Archives/edgar/data/1576885/000157688525000051/acumenpharma-sx82025.htm,Recent dilution-related filings: S-8,,,,TODO: parse 10-Q/10-K to compute runway,8-K,2025-08-12,https://www.sec.gov/ix?doc=/Archives/edgar/data/1576885/000157688525000091/abos-20250812xexx991.htm,"2025-08-12 | 10-Q | https://www.sec.gov/ix?doc=/Archives/edgar/data/1576885/000157688525000093/abos-20250630.htm | nan
2025-08-12 | 8-K | https://www.sec.gov/ix?doc=/Archives/edgar/data/1576885/000157688525000091/abos-20250812xexx991.htm | nan
2025-07-15 | 8-K | https://www.sec.gov/ix?doc=/Archives/edgar/data/1576885/000157688525000087/acumen_ncxcorporatexdeck.htm | nan
2025-06-05 | 8-K | https://www.sec.gov/ix?doc=/Archives/edgar/data/1576885/000157688525000072/abos-20250604.htm | nan
2025-05-13 | 10-Q | https://www.sec.gov/ix?doc=/Archives/edgar/data/1576885/000157688525000065/abos-20250331.htm | nan
2025-05-13 | 8-K | https://www.sec.gov/ix?doc=/Archives/edgar/data/1576885/000157688525000062/abos-20250513xexx991.htm | nan
2025-04-23 | DEF 14A | https://www.sec.gov/ix?doc=/Archives/edgar/data/1576885/000157688525000057/abos-20250422.htm | nan
2025-03-27 | S-8 | https://www.sec.gov/ix?doc=/Archives/edgar/data/1576885/000157688525000051/acumenpharma-sx82025.htm | nan
2025-03-27 | 10-K | https://www.sec.gov/ix?doc=/Archives/edgar/data/1576885/000157688525000049/abos-20241231.htm | nan
2025-03-27 | 8-K | https://www.sec.gov/ix?doc=/Archives/edgar/data/1576885/000157688525000044/abos-20250327.htm | nan",https://www.sec.gov/ix?doc=/Archives/edgar/data/1576885/000157688525000093/abos-20250630.htm; https://www.sec.gov/ix?doc=/Archives/edgar/data/1576885/000157688525000091/abos-20250812xexx991.htm; https://www.sec.gov/ix?doc=/Archives/edgar/data/1576885/000157688525000087/acumen_ncxcorporatexdeck.htm; https://www.sec.gov/ix?doc=/Archives/edgar/data/1576885/000157688525000072/abos-20250604.htm; https://www.sec.gov/ix?doc=/Archives/edgar/data/1576885/000157688525000065/abos-20250331.htm; https://www.sec.gov/ix?doc=/Archives/edgar/data/1576885/000157688525000062/abos-20250513xexx991.htm; https://www.sec.gov/ix?doc=/Archives/edgar/data/1576885/000157688525000057/abos-20250422.htm; https://www.sec.gov/ix?doc=/Archives/edgar/data/1576885/000157688525000051/acumenpharma-sx82025.htm; https://www.sec.gov/ix?doc=/Archives/edgar/data/1576885/000157688525000049/abos-20241231.htm; https://www.sec.gov/ix?doc=/Archives/edgar/data/1576885/000157688525000044/abos-20250327.htm,,,,,
ACB,Aurora Cannabis Inc.,0001683541,Healthcare,TBD,2025-11-05,https://www.sec.gov/ix?doc=/Archives/edgar/data/1683541/000162828025049248/fs20250930q22026.htm,https://www.sec.gov/ix?doc=/Archives/edgar/data/1683541/000162828025049248/fs20250930q22026.htm; https://www.sec.gov/ix?doc=/Archives/edgar/data/1683541/000127956925001175/ex991.htm; https://www.sec.gov/ix?doc=/Archives/edgar/data/1683541/000127956925001141/aurora_6k.htm; https://www.sec.gov/ix?doc=/Archives/edgar/data/1683541/000127956925001017/aurora_6k.htm; https://www.sec.gov/ix?doc=/Archives/edgar/data/1683541/000127956925000864/aurora_6k.htm; https://www.sec.gov/ix?doc=/Archives/edgar/data/1683541/000127956925000862/aurora_6k.htm; https://www.sec.gov/ix?doc=/Archives/edgar/data/1683541/000127956925000828/ex991.htm; https://www.sec.gov/ix?doc=/Archives/edgar/data/1683541/000168354125000015/fs20250630q12026.htm; https://www.sec.gov/ix?doc=/Archives/edgar/data/1683541/000127956925000806/ex991.htm; https://www.sec.gov/ix?doc=/Archives/edgar/data/1683541/000127956925000785/ex991.htm; https://www.sec.gov/ix?doc=/Archives/edgar/data/1683541/000127956925000731/ex991.htm; https://www.sec.gov/ix?doc=/Archives/edgar/data/1683541/000127956925000711/ex991.htm; https://www.sec.gov/ix?doc=/Archives/edgar/data/1683541/000127956925000708/ex991.htm; https://www.sec.gov/ix?doc=/Archives/edgar/data/1683541/000127956925000645/ex991.htm; https://www.sec.gov/ix?doc=/Archives/edgar/data/1683541/000127956925000641/ex991.htm; https://www.sec.gov/ix?doc=/Archives/edgar/data/1683541/000127956925000634/ex991.htm; https://www.sec.gov/ix?doc=/Archives/edgar/data/1683541/000168354125000008/acb-20250331.htm; https://www.sec.gov/ix?doc=/Archives/edgar/data/1683541/000127956925000577/ex991.htm; https://www.sec.gov/ix?doc=/Archives/edgar/data/1683541/000127956925000531/ex991.htm,,FALSE,,,,,,,TODO: parse 10-Q/10-K to compute runway,6-K,2025-11-05,https://www.sec.gov/ix?doc=/Archives/edgar/data/1683541/000162828025049248/fs20250930q22026.htm,"2025-11-05 | 6-K | https://www.sec.gov/ix?doc=/Archives/edgar/data/1683541/000127956925001175/ex991.htm | nan
2025-11-05 | 6-K | https://www.sec.gov/ix?doc=/Archives/edgar/data/1683541/000162828025049248/fs20250930q22026.htm | nan
2025-10-23 | 6-K | https://www.sec.gov/ix?doc=/Archives/edgar/data/1683541/000127956925001141/aurora_6k.htm | nan
2025-09-18 | 6-K | https://www.sec.gov/ix?doc=/Archives/edgar/data/1683541/000127956925001017/aurora_6k.htm | nan
2025-08-11 | 6-K | https://www.sec.gov/ix?doc=/Archives/edgar/data/1683541/000127956925000864/aurora_6k.htm | nan
2025-08-11 | 6-K | https://www.sec.gov/ix?doc=/Archives/edgar/data/1683541/000127956925000862/aurora_6k.htm | nan
2025-08-06 | 6-K | https://www.sec.gov/ix?doc=/Archives/edgar/data/1683541/000127956925000828/ex991.htm | nan
2025-08-06 | 6-K | https://www.sec.gov/ix?doc=/Archives/edgar/data/1683541/000168354125000015/fs20250630q12026.htm | nan
2025-07-30 | 6-K | https://www.sec.gov/ix?doc=/Archives/edgar/data/1683541/000127956925000806/ex991.htm | nan
2025-07-24 | 6-K | https://www.sec.gov/ix?doc=/Archives/edgar/data/1683541/000127956925000785/ex991.htm | nan
2025-07-14 | 6-K | https://www.sec.gov/ix?doc=/Archives/edgar/data/1683541/000127956925000731/ex991.htm | nan
2025-07-09 | 6-K | https://www.sec.gov/ix?doc=/Archives/edgar/data/1683541/000127956925000711/ex991.htm | nan
2025-07-09 | 6-K | https://www.sec.gov/ix?doc=/Archives/edgar/data/1683541/000127956925000708/ex991.htm | nan
2025-06-20 | 6-K | https://www.sec.gov/ix?doc=/Archives/edgar/data/1683541/000127956925000645/ex991.htm | nan
2025-06-18 | 6-K | https://www.sec.gov/ix?doc=/Archives/edgar/data/1683541/000127956925000641/ex991.htm | nan
2025-06-18 | 6-K | https://www.sec.gov/ix?doc=/Archives/edgar/data/1683541/000127956925000634/ex991.htm | nan
2025-06-18 | 40-F | https://www.sec.gov/ix?doc=/Archives/edgar/data/1683541/000168354125000008/acb-20250331.htm | nan
2025-06-04 | 6-K | https://www.sec.gov/ix?doc=/Archives/edgar/data/1683541/000127956925000577/ex991.htm | nan
2025-05-27 | 6-K | https://www.sec.gov/ix?doc=/Archives/edgar/data/1683541/000127956925000531/ex991.htm | nan",https://www.sec.gov/ix?doc=/Archives/edgar/data/1683541/000127956925001175/ex991.htm; https://www.sec.gov/ix?doc=/Archives/edgar/data/1683541/000162828025049248/fs20250930q22026.htm; https://www.sec.gov/ix?doc=/Archives/edgar/data/1683541/000127956925001141/aurora_6k.htm; https://www.sec.gov/ix?doc=/Archives/edgar/data/1683541/000127956925001017/aurora_6k.htm; https://www.sec.gov/ix?doc=/Archives/edgar/data/1683541/000127956925000864/aurora_6k.htm; https://www.sec.gov/ix?doc=/Archives/edgar/data/1683541/000127956925000862/aurora_6k.htm; https://www.sec.gov/ix?doc=/Archives/edgar/data/1683541/000127956925000828/ex991.htm; https://www.sec.gov/ix?doc=/Archives/edgar/data/1683541/000168354125000015/fs20250630q12026.htm; https://www.sec.gov/ix?doc=/Archives/edgar/data/1683541/000127956925000806/ex991.htm; https://www.sec.gov/ix?doc=/Archives/edgar/data/1683541/000127956925000785/ex991.htm; https://www.sec.gov/ix?doc=/Archives/edgar/data/1683541/000127956925000731/ex991.htm; https://www.sec.gov/ix?doc=/Archives/edgar/data/1683541/000127956925000711/ex991.htm; https://www.sec.gov/ix?doc=/Archives/edgar/data/1683541/000127956925000708/ex991.htm; https://www.sec.gov/ix?doc=/Archives/edgar/data/1683541/000127956925000645/ex991.htm; https://www.sec.gov/ix?doc=/Archives/edgar/data/1683541/000127956925000641/ex991.htm; https://www.sec.gov/ix?doc=/Archives/edgar/data/1683541/000127956925000634/ex991.htm; https://www.sec.gov/ix?doc=/Archives/edgar/data/1683541/000168354125000008/acb-20250331.htm; https://www.sec.gov/ix?doc=/Archives/edgar/data/1683541/000127956925000577/ex991.htm; https://www.sec.gov/ix?doc=/Archives/edgar/data/1683541/000127956925000531/ex991.htm,,,,,
ACCO,ACCO Brands Corporation,0000712034,Industrials,Earnings / financial update,2025-10-31,https://www.sec.gov/ix?doc=/Archives/edgar/data/712034/000119312525260601/acco-20250930.htm,https://www.sec.gov/ix?doc=/Archives/edgar/data/712034/000119312525260601/acco-20250930.htm; https://www.sec.gov/ix?doc=/Archives/edgar/data/712034/000119312525258795/acco-ex99_1.htm; https://www.sec.gov/ix?doc=/Archives/edgar/data/712034/000095017025101292/acco-20250630.htm; https://www.sec.gov/ix?doc=/Archives/edgar/data/712034/000095017025100909/acco-ex99_1.htm; https://www.sec.gov/ix?doc=/Archives/edgar/data/712034/000095017025093849/acco-20250627.htm; https://www.sec.gov/ix?doc=/Archives/edgar/data/712034/000095017025084312/acco-ex99_1.htm; https://www.sec.gov/ix?doc=/Archives/edgar/data/712034/000095017025075700/acco-20250520.htm; https://www.sec.gov/ix?doc=/Archives/edgar/data/712034/000095017025075378/2025_s-8_final.htm; https://www.sec.gov/ix?doc=/Archives/edgar/data/712034/000095017025061863/acco-ex99_1.htm; https://www.sec.gov/ix?doc=/Archives/edgar/data/712034/000095017025046374/acco-20250328.htm; https://www.sec.gov/ix?doc=/Archives/edgar/data/712034/000095017025024931/acco-20241231.htm; https://www.sec.gov/ix?doc=/Archives/edgar/data/712034/000095017025024182/acco-ex99_1.htm; https://www.sec.gov/ix?doc=/Archives/edgar/data/712034/000095017024119565/acco-ex10_1.htm,,TRUE,S-8,https://www.sec.gov/ix?doc=/Archives/edgar/data/712034/000095017025075378/2025_s-8_final.htm,Recent dilution-related filings: S-8,,,,TODO: parse 10-Q/10-K to compute runway,10-Q,2025-10-31,https://www.sec.gov/ix?doc=/Archives/edgar/data/712034/000119312525260601/acco-20250930.htm,"2025-10-31 | 10-Q | https://www.sec.gov/ix?doc=/Archives/edgar/data/712034/000119312525260601/acco-20250930.htm | nan
2025-10-30 | 8-K | https://www.sec.gov/ix?doc=/Archives/edgar/data/712034/000119312525258795/acco-ex99_1.htm | nan
2025-08-01 | 10-Q | https://www.sec.gov/ix?doc=/Archives/edgar/data/712034/000095017025101292/acco-20250630.htm | nan
2025-07-31 | 8-K | https://www.sec.gov/ix?doc=/Archives/edgar/data/712034/000095017025100909/acco-ex99_1.htm | nan
2025-07-03 | 8-K | https://www.sec.gov/ix?doc=/Archives/edgar/data/712034/000095017025093849/acco-20250627.htm | nan
2025-06-10 | 8-K | https://www.sec.gov/ix?doc=/Archives/edgar/data/712034/000095017025084312/acco-ex99_1.htm | nan
2025-05-21 | 8-K | https://www.sec.gov/ix?doc=/Archives/edgar/data/712034/000095017025075700/acco-20250520.htm | nan
2025-05-20 | S-8 | https://www.sec.gov/ix?doc=/Archives/edgar/data/712034/000095017025075378/2025_s-8_final.htm | nan
2025-05-01 | 8-K | https://www.sec.gov/ix?doc=/Archives/edgar/data/712034/000095017025061863/acco-ex99_1.htm | nan
2025-03-28 | DEF 14A | https://www.sec.gov/ix?doc=/Archives/edgar/data/712034/000095017025046374/acco-20250328.htm | nan
2025-02-21 | 10-K | https://www.sec.gov/ix?doc=/Archives/edgar/data/712034/000095017025024931/acco-20241231.htm | nan
2025-02-20 | 8-K | https://www.sec.gov/ix?doc=/Archives/edgar/data/712034/000095017025024182/acco-ex99_1.htm | nan
2024-10-31 | 8-K | https://www.sec.gov/ix?doc=/Archives/edgar/data/712034/000095017024119565/acco-ex10_1.htm | nan",https://www.sec.gov/ix?doc=/Archives/edgar/data/712034/000119312525260601/acco-20250930.htm; https://www.sec.gov/ix?doc=/Archives/edgar/data/712034/000119312525258795/acco-ex99_1.htm; https://www.sec.gov/ix?doc=/Archives/edgar/data/712034/000095017025101292/acco-20250630.htm; https://www.sec.gov/ix?doc=/Archives/edgar/data/712034/000095017025100909/acco-ex99_1.htm; https://www.sec.gov/ix?doc=/Archives/edgar/data/712034/000095017025093849/acco-20250627.htm; https://www.sec.gov/ix?doc=/Archives/edgar/data/712034/000095017025084312/acco-ex99_1.htm; https://www.sec.gov/ix?doc=/Archives/edgar/data/712034/000095017025075700/acco-20250520.htm; https://www.sec.gov/ix?doc=/Archives/edgar/data/712034/000095017025075378/2025_s-8_final.htm; https://www.sec.gov/ix?doc=/Archives/edgar/data/712034/000095017025061863/acco-ex99_1.htm; https://www.sec.gov/ix?doc=/Archives/edgar/data/712034/000095017025046374/acco-20250328.htm; https://www.sec.gov/ix?doc=/Archives/edgar/data/712034/000095017025024931/acco-20241231.htm; https://www.sec.gov/ix?doc=/Archives/edgar/data/712034/000095017025024182/acco-ex99_1.htm; https://www.sec.gov/ix?doc=/Archives/edgar/data/712034/000095017024119565/acco-ex10_1.htm,,,,,
ACHV,"Achieve Life Sciences, Inc.",0000949858,Healthcare,Corporate event / guidance / financing,2025-10-07,https://www.sec.gov/ix?doc=/Archives/edgar/data/949858/000119312525233581/achv-20251006.htm,https://www.sec.gov/ix?doc=/Archives/edgar/data/949858/000119312525233581/achv-20251006.htm; https://www.sec.gov/ix?doc=/Archives/edgar/data/949858/000119312525201418/achv-20250905.htm; https://www.sec.gov/ix?doc=/Archives/edgar/data/949858/000095017025104571/achv-20250630.htm; https://www.sec.gov/ix?doc=/Archives/edgar/data/949858/000095017025104569/achv-20250807.htm; https://www.sec.gov/ix?doc=/Archives/edgar/data/949858/000095017025091055/achv-ex99_1.htm; https://www.sec.gov/ix?doc=/Archives/edgar/data/949858/000095017025090991/prosuppjune2025-projatom.htm; https://www.sec.gov/ix?doc=/Archives/edgar/data/949858/000095017025090401/prelimprosuppjune2025-pr.htm; https://www.sec.gov/ix?doc=/Archives/edgar/data/949858/000095017025083214/achv-20250604.htm; https://www.sec.gov/ix?doc=/Archives/edgar/data/949858/000095017025069806/achv-20250331.htm; https://www.sec.gov/ix?doc=/Archives/edgar/data/949858/000095017025069804/achv-ex99_1.htm; https://www.sec.gov/ix?doc=/Archives/edgar/data/949858/000095017025059297/achv-20250424.htm; https://www.sec.gov/ix?doc=/Archives/edgar/data/949858/000095017025036831/achv-20241231.htm; https://www.sec.gov/ix?doc=/Archives/edgar/data/949858/000095017025036830/achv-ex99_1.htm; https://www.sec.gov/ix?doc=/Archives/edgar/data/949858/000095017025017068/achv-ex99_1.htm; https://www.sec.gov/ix?doc=/Archives/edgar/data/949858/000095017025004143/jan_10_2025_s-8.htm; https://www.sec.gov/Archives/edgar/data/949858/000095017025003873/0000950170-25-003873.txt; https://www.sec.gov/Archives/edgar/data/949858/000095017024134558/0000950170-24-134558.txt; https://www.sec.gov/ix?doc=/Archives/edgar/data/949858/000095017024133703/s-8_new_hire_inducement.htm; https://www.sec.gov/ix?doc=/Archives/edgar/data/949858/000095017024123443/s-3_svb_resale.htm; https://www.sec.gov/ix?doc=/Archives/edgar/data/949858/000095017024123334/achv-ex99_1.htm,,TRUE,424B5; S-8; S-3,https://www.sec.gov/ix?doc=/Archives/edgar/data/949858/000095017025090991/prosuppjune2025-projatom.htm; https://www.sec.gov/ix?doc=/Archives/edgar/data/949858/000095017025090401/prelimprosuppjune2025-pr.htm; https://www.sec.gov/ix?doc=/Archives/edgar/data/949858/000095017025004143/jan_10_2025_s-8.htm; https://www.sec.gov/ix?doc=/Archives/edgar/data/949858/000095017024133703/s-8_new_hire_inducement.htm; https://www.sec.gov/ix?doc=/Archives/edgar/data/949858/000095017024123443/s-3_svb_resale.htm,"Recent dilution-related filings: 424B5, S-8, S-3",,,,TODO: parse 10-Q/10-K to compute runway,8-K,2025-10-07,https://www.sec.gov/ix?doc=/Archives/edgar/data/949858/000119312525233581/achv-20251006.htm,"2025-10-07 | 8-K | https://www.sec.gov/ix?doc=/Archives/edgar/data/949858/000119312525233581/achv-20251006.htm | nan
2025-09-11 | 8-K | https://www.sec.gov/ix?doc=/Archives/edgar/data/949858/000119312525201418/achv-20250905.htm | nan
2025-08-07 | 10-Q | https://www.sec.gov/ix?doc=/Archives/edgar/data/949858/000095017025104571/achv-20250630.htm | nan
2025-08-07 | 8-K | https://www.sec.gov/ix?doc=/Archives/edgar/data/949858/000095017025104569/achv-20250807.htm | nan
2025-06-27 | 8-K | https://www.sec.gov/ix?doc=/Archives/edgar/data/949858/000095017025091055/achv-ex99_1.htm | nan
2025-06-27 | 424B5 | https://www.sec.gov/ix?doc=/Archives/edgar/data/949858/000095017025090991/prosuppjune2025-projatom.htm | nan
2025-06-26 | 424B5 | https://www.sec.gov/ix?doc=/Archives/edgar/data/949858/000095017025090401/prelimprosuppjune2025-pr.htm | nan
2025-06-06 | 8-K | https://www.sec.gov/ix?doc=/Archives/edgar/data/949858/000095017025083214/achv-20250604.htm | nan
