Ticker,Company,Sector,CIK,Price,MarketCap,ADV20,LatestForm,LatestFiledAt,LatestFiledAgeDays,CatalystType,Catalyst,CatalystStatus,CatalystPrimaryForm,CatalystPrimaryDate,CatalystPrimaryDaysAgo,CatalystPrimaryURL,RunwayQuartersRaw,RunwayQuarters,RunwayCashRaw,RunwayCash,RunwayQuarterlyBurnRaw,RunwayQuarterlyBurn,RunwayEstimate,RunwayNotes,RunwayDays,RunwayBucket,RunwaySourceForm,RunwaySourceDate,RunwaySourceDaysAgo,RunwaySourceURL,RunwayStatus,DilutionFlag,Dilution,DilutionStatus,DilutionFormsHit,DilutionKeywordsHit,DilutionPrimaryForm,DilutionPrimaryDate,DilutionPrimaryDaysAgo,DilutionPrimaryURL,DilutionEvidenceAll,Governance,GovernanceStatus,GovernancePrimaryForm,GovernancePrimaryDate,GovernancePrimaryDaysAgo,GovernancePrimaryURL,GovernanceEvidenceAll,GovernanceNotes,HasGoingConcern,HasMaterialWeakness,Auditor,Insider,InsiderStatus,InsiderForms345Links,InsiderBuyCount,HasInsiderCluster,Ownership,OwnershipStatus,OwnershipLinks,Materiality,SubscoresEvidenced,SubscoresEvidencedCount,Status,ChecklistPassed,ChecklistCatalyst,ChecklistDilution,ChecklistRunway,ChecklistGovernance,ChecklistInsider,ChecklistOwnership,RiskFlag,Tier1Type,Tier1Trigger
CCLD,"CareCloud, Inc.",Healthcare,0001582982,3.41,122733913.0,320940.3,8-K/A,2025-10-31,5,Corporate event / guidance / financing,2025-10-31 8-K/A https://www.sec.gov/ix?doc=/Archives/edgar/data/1582982/000149315225020427/form8-ka.htm,Pass,8-K/A,2025-10-31,5,https://www.sec.gov/ix?doc=/Archives/edgar/data/1582982/000149315225020427/form8-ka.htm,,,12299000.0,12299000.0,0.0,0.0,,2025-08-05 10-Q https://www.sec.gov/ix?doc=/Archives/edgar/data/1582982/000164117225022265/form10-q.htm | values parsed from XBRL: https://www.sec.gov/Archives/edgar/data/1582982/000164117225022265/form10-q.htm,,,,,,,Missing,True,2025-04-07 S-3 https://www.sec.gov/ix?doc=/Archives/edgar/data/1582982/000164117225003035/forms-3.htm,Pass (Offering),S-3,,S-3,2025-04-07,212,https://www.sec.gov/ix?doc=/Archives/edgar/data/1582982/000164117225003035/forms-3.htm,2025-04-07 S-3 https://www.sec.gov/ix?doc=/Archives/edgar/data/1582982/000164117225003035/forms-3.htm,2025-04-03 DEF 14A https://www.sec.gov/ix?doc=/Archives/edgar/data/1582982/000164117225002597/formdef14a.htm,Pass,DEF 14A,2025-04-03,216,https://www.sec.gov/ix?doc=/Archives/edgar/data/1582982/000164117225002597/formdef14a.htm,2025-04-03 DEF 14A https://www.sec.gov/ix?doc=/Archives/edgar/data/1582982/000164117225002597/formdef14a.htm; 2024-12-05 DEF 14A https://www.sec.gov/ix?doc=/Archives/edgar/data/1582982/000149315224048885/formdef14a.htm,2025-04-03 DEF 14A https://www.sec.gov/ix?doc=/Archives/edgar/data/1582982/000164117225002597/formdef14a.htm,False,False,,,Missing,,0,False,,Missing,,High,Catalyst; Dilution; Governance,3,TBD - exclude,3/6,Pass,Pass,Missing,Pass,Missing,Missing,,None,False
CERS,Cerus Corporation,Healthcare,0001020214,1.3,269336806.0,1119241.7,S-8,2025-08-05,92,Earnings/Financial update,2025-08-05 10-Q https://www.sec.gov/ix?doc=/Archives/edgar/data/1020214/000095017025103179/cers-20250630.htm,Pass,10-Q,2025-08-05,92,https://www.sec.gov/ix?doc=/Archives/edgar/data/1020214/000095017025103179/cers-20250630.htm,9.720973,9.72,15991000.0,15991000.0,1645000.0,1645000.0,interim,2025-08-05 10-Q https://www.sec.gov/ix?doc=/Archives/edgar/data/1020214/000095017025103179/cers-20250630.htm | values parsed from XBRL: https://www.sec.gov/Archives/edgar/data/1020214/000095017025103179/cers-20250630.htm,875.0,6-12q,10-Q,2025-08-05,92,https://www.sec.gov/ix?doc=/Archives/edgar/data/1020214/000095017025103179/cers-20250630.htm,Pass,True,2025-08-05 S-8 https://www.sec.gov/ix?doc=/Archives/edgar/data/1020214/000119312525173635/d84103ds8.htm,Overhang (S-8),S-8,,S-8,2025-08-05,92,https://www.sec.gov/ix?doc=/Archives/edgar/data/1020214/000119312525173635/d84103ds8.htm,2025-08-05 S-8 https://www.sec.gov/ix?doc=/Archives/edgar/data/1020214/000119312525173635/d84103ds8.htm,2025-04-23 DEF 14A https://www.sec.gov/ix?doc=/Archives/edgar/data/1020214/000095017025057130/cers-20250423.htm,Pass,DEF 14A,2025-04-23,196,https://www.sec.gov/ix?doc=/Archives/edgar/data/1020214/000095017025057130/cers-20250423.htm,2025-04-23 DEF 14A https://www.sec.gov/ix?doc=/Archives/edgar/data/1020214/000095017025057130/cers-20250423.htm,2025-04-23 DEF 14A https://www.sec.gov/ix?doc=/Archives/edgar/data/1020214/000095017025057130/cers-20250423.htm,False,False,,,Missing,,0,False,,Missing,,High,Catalyst; Dilution; Governance,3,Active,4/6,Pass,Pass,Pass,Pass,Missing,Missing,,None,False
CGC,Canopy Growth Corporation,Healthcare,0001737927,1.35,278148666.0,20718707.15,8-K,2025-10-14,22,Corporate event / guidance / financing,2025-10-14 8-K https://www.sec.gov/ix?doc=/Archives/edgar/data/1737927/000110465925098884/tm2528659d1_8k.htm,Pass,8-K,2025-10-14,22,https://www.sec.gov/ix?doc=/Archives/edgar/data/1737927/000110465925098884/tm2528659d1_8k.htm,12.208765,12.21,126202000.0,126202000.0,10337000.0,10337000.0,interim,2025-08-08 10-Q https://www.sec.gov/ix?doc=/Archives/edgar/data/1737927/000119312525175982/cgc-20250630.htm | values parsed from XBRL: https://www.sec.gov/Archives/edgar/data/1737927/000119312525175982/cgc-20250630.htm,1099.0,>12q,10-Q,2025-08-08,89,https://www.sec.gov/ix?doc=/Archives/edgar/data/1737927/000119312525175982/cgc-20250630.htm,Pass,True,2025-08-29 424B5 https://www.sec.gov/ix?doc=/Archives/edgar/data/1737927/000110465925085662/tm2524607-2_424b5.htm,Pass (Offering),424B5; 424B7,,424B5,2025-08-29,68,https://www.sec.gov/ix?doc=/Archives/edgar/data/1737927/000110465925085662/tm2524607-2_424b5.htm,2025-08-29 424B5 https://www.sec.gov/ix?doc=/Archives/edgar/data/1737927/000110465925085662/tm2524607-2_424b5.htm; 2025-06-06 424B7 https://www.sec.gov/ix?doc=/Archives/edgar/data/1737927/000110465925057341/tm2516121-6_424b7.htm; 2025-06-06 424B5 https://www.sec.gov/ix?doc=/Archives/edgar/data/1737927/000110465925057337/tm2516121-5_424b5.htm; 2025-02-28 424B5 https://www.sec.gov/ix?doc=/Archives/edgar/data/1737927/000110465925019242/tm257897-1_424b5.htm; 2024-12-10 424B7 https://www.sec.gov/ix?doc=/Archives/edgar/data/1737927/000110465924127219/tm2430617-1_424b7.htm,2025-08-07 DEF 14A https://www.sec.gov/ix?doc=/Archives/edgar/data/1737927/000110465925075215/tm2521606-5_def14a.htm,Pass,DEF 14A,2025-08-07,90,https://www.sec.gov/ix?doc=/Archives/edgar/data/1737927/000110465925075215/tm2521606-5_def14a.htm,2025-08-07 DEF 14A https://www.sec.gov/ix?doc=/Archives/edgar/data/1737927/000110465925075215/tm2521606-5_def14a.htm,2025-08-07 DEF 14A https://www.sec.gov/ix?doc=/Archives/edgar/data/1737927/000110465925075215/tm2521606-5_def14a.htm,False,False,,,Missing,,0,False,,Missing,,High,Catalyst; Dilution; Governance,3,Active,4/6,Pass,Pass,Pass,Pass,Missing,Missing,,None,False
CHPT,"ChargePoint Holdings, Inc.",Consumer Cyclical,0001777393,10.85,231197274.0,397993.85,S-3,2025-09-08,58,Earnings / financial update,2025-09-08 S-3 https://www.sec.gov/ix?doc=/Archives/edgar/data/1777393/000177739325000157/chargepoint-sx3.htm,Pass,S-3,2025-09-08,58,https://www.sec.gov/ix?doc=/Archives/edgar/data/1777393/000177739325000157/chargepoint-sx3.htm,9.924489,9.92,194123000.0,194123000.0,19560000.0,19560000.0,interim,2025-09-08 10-Q https://www.sec.gov/ix?doc=/Archives/edgar/data/1777393/000177739325000155/chpt-20250731.htm | values parsed from XBRL: https://www.sec.gov/Archives/edgar/data/1777393/000177739325000155/chpt-20250731.htm,893.0,6-12q,10-Q,2025-09-08,58,https://www.sec.gov/ix?doc=/Archives/edgar/data/1777393/000177739325000155/chpt-20250731.htm,Pass,True,2025-09-08 S-3 https://www.sec.gov/ix?doc=/Archives/edgar/data/1777393/000177739325000157/chargepoint-sx3.htm,Pass (Offering),S-3; S-8,,S-3,2025-09-08,58,https://www.sec.gov/ix?doc=/Archives/edgar/data/1777393/000177739325000157/chargepoint-sx3.htm,2025-09-08 S-3 https://www.sec.gov/ix?doc=/Archives/edgar/data/1777393/000177739325000157/chargepoint-sx3.htm; 2025-03-31 S-8 https://www.sec.gov/ix?doc=/Archives/edgar/data/1777393/000177739325000034/chargepoints-82025.htm,2025-05-22 DEF 14A https://www.sec.gov/ix?doc=/Archives/edgar/data/1777393/000177739325000064/chpt-20250522.htm,Pass,DEF 14A,2025-05-22,167,https://www.sec.gov/ix?doc=/Archives/edgar/data/1777393/000177739325000064/chpt-20250522.htm,2025-05-22 DEF 14A https://www.sec.gov/ix?doc=/Archives/edgar/data/1777393/000177739325000064/chpt-20250522.htm,2025-05-22 DEF 14A https://www.sec.gov/ix?doc=/Archives/edgar/data/1777393/000177739325000064/chpt-20250522.htm,False,False,,,Missing,,0,False,,Missing,,High,Catalyst; Dilution; Governance,3,Active,4/6,Pass,Pass,Pass,Pass,Missing,Missing,,None,False
CIO,"City Office REIT, Inc.",Real Estate,0001593222,6.94,278509116.0,376723.95,8-K,2025-10-17,19,Corporate event / guidance / financing,2025-10-17 8-K https://www.sec.gov/ix?doc=/Archives/edgar/data/1593222/000119312525241716/d80098d8k.htm,Pass,8-K,2025-10-17,19,https://www.sec.gov/ix?doc=/Archives/edgar/data/1593222/000119312525241716/d80098d8k.htm,,,18264000.0,18264000.0,0.0,0.0,,2025-07-31 10-Q https://www.sec.gov/ix?doc=/Archives/edgar/data/1593222/000095017025100537/cio-20250630.htm | values parsed from XBRL: https://www.sec.gov/Archives/edgar/data/1593222/000095017025100537/cio-20250630.htm,,,,,,,Missing,True,2025-05-16 S-8 https://www.sec.gov/ix?doc=/Archives/edgar/data/1593222/000119312525121681/d920007ds8.htm,Pass (Offering),S-8; S-3/A,,S-8,2025-05-16,173,https://www.sec.gov/ix?doc=/Archives/edgar/data/1593222/000119312525121681/d920007ds8.htm,2025-05-16 S-8 https://www.sec.gov/ix?doc=/Archives/edgar/data/1593222/000119312525121681/d920007ds8.htm; 2024-10-11 S-3/A https://www.sec.gov/ix?doc=/Archives/edgar/data/1593222/000119312524236718/d858612ds3a.htm,2025-03-12 DEF 14A https://www.sec.gov/ix?doc=/Archives/edgar/data/1593222/000119312525052437/d897464ddef14a.htm,Pass,DEF 14A,2025-03-12,238,https://www.sec.gov/ix?doc=/Archives/edgar/data/1593222/000119312525052437/d897464ddef14a.htm,2025-03-12 DEF 14A https://www.sec.gov/ix?doc=/Archives/edgar/data/1593222/000119312525052437/d897464ddef14a.htm,2025-03-12 DEF 14A https://www.sec.gov/ix?doc=/Archives/edgar/data/1593222/000119312525052437/d897464ddef14a.htm,False,False,,,Missing,,0,False,,Missing,,High,Catalyst; Dilution; Governance,3,TBD - exclude,3/6,Pass,Pass,Missing,Pass,Missing,Missing,,None,False
CISO,CISO Global Inc.,Technology,0001777319,1.08,33737785.0,707454.15,8-K,2025-10-21,15,Corporate event / guidance / financing,2025-10-21 8-K https://www.sec.gov/ix?doc=/Archives/edgar/data/1777319/000149315225018827/form8-k.htm,Pass,8-K,2025-10-21,15,https://www.sec.gov/ix?doc=/Archives/edgar/data/1777319/000149315225018827/form8-k.htm,0.286897,0.29,760754.0,760754.0,2651666.0,2651666.0,interim,2025-08-14 10-Q https://www.sec.gov/ix?doc=/Archives/edgar/data/1777319/000164117225023931/form10-q.htm | values parsed from XBRL: https://www.sec.gov/Archives/edgar/data/1777319/000164117225023931/form10-q.htm,26.0,<1q,10-Q,2025-08-14,83,https://www.sec.gov/ix?doc=/Archives/edgar/data/1777319/000164117225023931/form10-q.htm,Pass,True,2025-07-08 424B5 https://www.sec.gov/ix?doc=/Archives/edgar/data/1777319/000164117225018227/form424b5.htm,Pass (Offering),424B5; S-3,,424B5,2025-07-08,120,https://www.sec.gov/ix?doc=/Archives/edgar/data/1777319/000164117225018227/form424b5.htm,2025-07-08 424B5 https://www.sec.gov/ix?doc=/Archives/edgar/data/1777319/000164117225018227/form424b5.htm; 2025-06-26 S-3 https://www.sec.gov/ix?doc=/Archives/edgar/data/1777319/000164117225016673/forms-3.htm; 2025-03-28 424B5 https://www.sec.gov/ix?doc=/Archives/edgar/data/1777319/000164117225001076/form424b5.htm; 2024-12-23 S-3 https://www.sec.gov/ix?doc=/Archives/edgar/data/1777319/000149315224051157/forms-3.htm,2025-03-05 DEF 14A https://www.sec.gov/ix?doc=/Archives/edgar/data/1777319/000149315225009241/formdef14a.htm,Pass,DEF 14A,2025-03-05,245,https://www.sec.gov/ix?doc=/Archives/edgar/data/1777319/000149315225009241/formdef14a.htm,2025-03-05 DEF 14A https://www.sec.gov/ix?doc=/Archives/edgar/data/1777319/000149315225009241/formdef14a.htm,2025-03-05 DEF 14A https://www.sec.gov/ix?doc=/Archives/edgar/data/1777319/000149315225009241/formdef14a.htm,False,False,,,Missing,,0,False,,Missing,,High,Catalyst; Dilution; Governance,3,Active,4/6,Pass,Pass,Pass,Pass,Missing,Missing,,None,False
CLW,Clearwater Paper Corporation,Basic Materials,0001441236,22.02,292860034.0,235340.85,10-Q,2025-10-28,8,Earnings/Financial update,2025-10-28 10-Q https://www.sec.gov/ix?doc=/Archives/edgar/data/1441236/000144123625000008/clw-20250930.htm,Pass,10-Q,2025-10-28,8,https://www.sec.gov/ix?doc=/Archives/edgar/data/1441236/000144123625000008/clw-20250930.htm,,,34400000.0,34400000.0,0.0,0.0,,2025-10-28 10-Q https://www.sec.gov/ix?doc=/Archives/edgar/data/1441236/000144123625000008/clw-20250930.htm | values parsed from XBRL: https://www.sec.gov/Archives/edgar/data/1441236/000144123625000008/clw-20250930.htm,,,,,,,Missing,True,2025-05-12 S-8 https://www.sec.gov/ix?doc=/Archives/edgar/data/1441236/000119312525117892/d933004ds8.htm,Overhang (S-8),S-8,,S-8,2025-05-12,177,https://www.sec.gov/ix?doc=/Archives/edgar/data/1441236/000119312525117892/d933004ds8.htm,2025-05-12 S-8 https://www.sec.gov/ix?doc=/Archives/edgar/data/1441236/000119312525117892/d933004ds8.htm,2025-03-28 DEF 14A https://www.sec.gov/ix?doc=/Archives/edgar/data/1441236/000119312525066733/d841095ddef14a.htm,Pass,DEF 14A,2025-03-28,222,https://www.sec.gov/ix?doc=/Archives/edgar/data/1441236/000119312525066733/d841095ddef14a.htm,2025-03-28 DEF 14A https://www.sec.gov/ix?doc=/Archives/edgar/data/1441236/000119312525066733/d841095ddef14a.htm,2025-03-28 DEF 14A https://www.sec.gov/ix?doc=/Archives/edgar/data/1441236/000119312525066733/d841095ddef14a.htm,False,False,,,Missing,,0,False,,Missing,,High,Catalyst; Dilution; Governance,3,TBD - exclude,3/6,Pass,Pass,Missing,Pass,Missing,Missing,,None,False
COYA,"Coya Therapeutics, Inc.",Healthcare,0001835022,6.37,99274727.0,315846.55,8-K,2025-10-27,9,TBD,2025-10-27 8-K https://www.sec.gov/ix?doc=/Archives/edgar/data/1835022/000119312525250709/d52085d8k.htm,Pass,8-K,2025-10-27,9,https://www.sec.gov/ix?doc=/Archives/edgar/data/1835022/000119312525250709/d52085d8k.htm,6.919045,6.92,29757328.0,29757328.0,4300785.5,4300785.5,interim,2025-08-12 10-Q https://www.sec.gov/ix?doc=/Archives/edgar/data/1835022/000095017025106934/coya-20250630.htm | values parsed from XBRL: https://www.sec.gov/Archives/edgar/data/1835022/000095017025106934/coya-20250630.htm,623.0,6-12q,10-Q,2025-08-12,85,https://www.sec.gov/ix?doc=/Archives/edgar/data/1835022/000095017025106934/coya-20250630.htm,Pass,True,2025-10-27 424B5 https://www.sec.gov/ix?doc=/Archives/edgar/data/1835022/000119312525250699/d31946d424b5.htm,Pass (Offering),424B5; 424B7; S-3; S-8; 424B3,,424B5,2025-10-27,9,https://www.sec.gov/ix?doc=/Archives/edgar/data/1835022/000119312525250699/d31946d424b5.htm,2025-10-27 424B5 https://www.sec.gov/ix?doc=/Archives/edgar/data/1835022/000119312525250699/d31946d424b5.htm; 2025-10-23 424B5 https://www.sec.gov/ix?doc=/Archives/edgar/data/1835022/000119312525248847/d31946d424b5.htm; 2025-08-19 424B7 https://www.sec.gov/ix?doc=/Archives/edgar/data/1835022/000119312525183460/d45210d424b7.htm; 2025-08-12 S-3 https://www.sec.gov/ix?doc=/Archives/edgar/data/1835022/000119312525178531/d45210ds3.htm; 2025-01-30 S-8 https://www.sec.gov/ix?doc=/Archives/edgar/data/1835022/000119312525017337/d924955ds8.htm; 2024-11-29 424B3 https://www.sec.gov/ix?doc=/Archives/edgar/data/1835022/000119312524268100/d879521d424b3.htm; 2024-11-20 S-3 https://www.sec.gov/ix?doc=/Archives/edgar/data/1835022/000119312524262623/d879521ds3.htm,2025-05-16 DEF 14A https://www.sec.gov/ix?doc=/Archives/edgar/data/1835022/000119312525121779/d874040ddef14a.htm,Pass,DEF 14A,2025-05-16,173,https://www.sec.gov/ix?doc=/Archives/edgar/data/1835022/000119312525121779/d874040ddef14a.htm,2025-05-16 DEF 14A https://www.sec.gov/ix?doc=/Archives/edgar/data/1835022/000119312525121779/d874040ddef14a.htm,2025-05-16 DEF 14A https://www.sec.gov/ix?doc=/Archives/edgar/data/1835022/000119312525121779/d874040ddef14a.htm,False,False,,,Missing,,0,False,,Missing,,High,Catalyst; Dilution; Governance,3,Active,4/6,Pass,Pass,Pass,Pass,Missing,Missing,,None,False
CPSH,CPS Technologies Corporation,Technology,0000814676,3.32,52666813.0,756888.95,10-Q,2025-10-31,5,Earnings/Financial update,2025-10-31 10-Q https://www.sec.gov/ix?doc=/Archives/edgar/data/814676/000143774925032553/cpsh20250927_10q.htm,Pass,10-Q,2025-10-31,5,https://www.sec.gov/ix?doc=/Archives/edgar/data/814676/000143774925032553/cpsh20250927_10q.htm,,,3234142.0,3234142.0,0.0,0.0,,2025-10-31 10-Q https://www.sec.gov/ix?doc=/Archives/edgar/data/814676/000143774925032553/cpsh20250927_10q.htm | values parsed from XBRL: https://www.sec.gov/Archives/edgar/data/814676/000143774925032553/cpsh20250927_10q.htm,,,,,,,Missing,True,2025-10-08 424B5 https://www.sec.gov/ix?doc=/Archives/edgar/data/814676/000143774925030673/cpsh20251007_424b5.htm,Pass (Offering),424B5; S-3/A,,424B5,2025-10-08,28,https://www.sec.gov/ix?doc=/Archives/edgar/data/814676/000143774925030673/cpsh20251007_424b5.htm,2025-10-08 424B5 https://www.sec.gov/ix?doc=/Archives/edgar/data/814676/000143774925030673/cpsh20251007_424b5.htm; 2025-10-06 424B5 https://www.sec.gov/ix?doc=/Archives/edgar/data/814676/000143774925030558/cpsh20251006_424b5.htm; 2024-10-15 S-3/A https://www.sec.gov/ix?doc=/Archives/edgar/data/814676/000143774924031206/cpsh20241011_s3a.htm,2025-03-17 DEF 14A https://www.sec.gov/ix?doc=/Archives/edgar/data/814676/000143774925008032/cpsh20250312_def14a.htm,Pass,DEF 14A,2025-03-17,233,https://www.sec.gov/ix?doc=/Archives/edgar/data/814676/000143774925008032/cpsh20250312_def14a.htm,2025-03-17 DEF 14A https://www.sec.gov/ix?doc=/Archives/edgar/data/814676/000143774925008032/cpsh20250312_def14a.htm,2025-03-17 DEF 14A https://www.sec.gov/ix?doc=/Archives/edgar/data/814676/000143774925008032/cpsh20250312_def14a.htm,False,False,,,Missing,,0,False,,Missing,,High,Catalyst; Dilution; Governance,3,TBD - exclude,3/6,Pass,Pass,Missing,Pass,Missing,Missing,,None,False
CRBP,"Corbus Pharmaceuticals Holdings, Inc.",Healthcare,0001595097,9.89,137192062.0,577916.4,8-K,2025-11-03,2,TBD,2025-11-03 8-K https://www.sec.gov/ix?doc=/Archives/edgar/data/1595097/000119312525261722/crbp-20251030.htm,Pass,8-K,2025-11-03,2,https://www.sec.gov/ix?doc=/Archives/edgar/data/1595097/000119312525261722/crbp-20251030.htm,1.214052,1.21,20044000.0,20044000.0,16510000.0,16510000.0,interim,2025-08-05 10-Q https://www.sec.gov/ix?doc=/Archives/edgar/data/1595097/000095017025103118/crbp-20250630.htm | values parsed from XBRL: https://www.sec.gov/Archives/edgar/data/1595097/000095017025103118/crbp-20250630.htm,109.0,1-3q,10-Q,2025-08-05,92,https://www.sec.gov/ix?doc=/Archives/edgar/data/1595097/000095017025103118/crbp-20250630.htm,Pass,True,2025-11-03 424B5 https://www.sec.gov/ix?doc=/Archives/edgar/data/1595097/000119312525261717/crbp_424b5_2025_11_03.htm,Pass (Offering),424B5,,424B5,2025-11-03,2,https://www.sec.gov/ix?doc=/Archives/edgar/data/1595097/000119312525261717/crbp_424b5_2025_11_03.htm,2025-11-03 424B5 https://www.sec.gov/ix?doc=/Archives/edgar/data/1595097/000119312525261717/crbp_424b5_2025_11_03.htm; 2025-10-30 424B5 https://www.sec.gov/ix?doc=/Archives/edgar/data/1595097/000119312525258685/crbp_424b5_2025_10_30.htm,2025-04-01 DEF 14A https://www.sec.gov/ix?doc=/Archives/edgar/data/1595097/000095017025048603/crbp-20250401.htm,Pass,DEF 14A,2025-04-01,218,https://www.sec.gov/ix?doc=/Archives/edgar/data/1595097/000095017025048603/crbp-20250401.htm,2025-04-01 DEF 14A https://www.sec.gov/ix?doc=/Archives/edgar/data/1595097/000095017025048603/crbp-20250401.htm,2025-04-01 DEF 14A https://www.sec.gov/ix?doc=/Archives/edgar/data/1595097/000095017025048603/crbp-20250401.htm,False,False,,,Missing,,0,False,,Missing,,High,Catalyst; Dilution; Governance,3,Active,4/6,Pass,Pass,Pass,Pass,Missing,Missing,,None,False
CRBU,"Caribou Biosciences, Inc.",Healthcare,0001619856,1.81,196955650.0,4525056.85,8-K,2025-11-03,2,Corporate event / guidance / financing,2025-11-03 8-K https://www.sec.gov/ix?doc=/Archives/edgar/data/1619856/000161985625000065/crbu-20251103.htm,Pass,8-K,2025-11-03,2,https://www.sec.gov/ix?doc=/Archives/edgar/data/1619856/000161985625000065/crbu-20251103.htm,0.775618,0.78,25201000.0,25201000.0,32491500.0,32491500.0,interim,2025-08-12 10-Q https://www.sec.gov/ix?doc=/Archives/edgar/data/1619856/000161985625000061/crbu-20250630.htm | values parsed from XBRL: https://www.sec.gov/Archives/edgar/data/1619856/000161985625000061/crbu-20250630.htm,70.0,<1q,10-Q,2025-08-12,85,https://www.sec.gov/ix?doc=/Archives/edgar/data/1619856/000161985625000061/crbu-20250630.htm,Pass,True,2025-05-08 S-3 https://www.sec.gov/ix?doc=/Archives/edgar/data/1619856/000119312525116051/d86420ds3.htm,Pass (Offering),S-3; S-8,,S-3,2025-05-08,181,https://www.sec.gov/ix?doc=/Archives/edgar/data/1619856/000119312525116051/d86420ds3.htm,2025-05-08 S-3 https://www.sec.gov/ix?doc=/Archives/edgar/data/1619856/000119312525116051/d86420ds3.htm; 2025-03-10 S-8 https://www.sec.gov/ix?doc=/Archives/edgar/data/1619856/000119312525051061/d874744ds8.htm,2025-04-25 DEF 14A https://www.sec.gov/ix?doc=/Archives/edgar/data/1619856/000161985625000031/crbu-20250425.htm,Pass,DEF 14A,2025-04-25,194,https://www.sec.gov/ix?doc=/Archives/edgar/data/1619856/000161985625000031/crbu-20250425.htm,2025-04-25 DEF 14A https://www.sec.gov/ix?doc=/Archives/edgar/data/1619856/000161985625000031/crbu-20250425.htm,2025-04-25 DEF 14A https://www.sec.gov/ix?doc=/Archives/edgar/data/1619856/000161985625000031/crbu-20250425.htm,False,False,,,Missing,,0,False,,Missing,,High,Catalyst; Dilution; Governance,3,Active,4/6,Pass,Pass,Pass,Pass,Missing,Missing,,None,False
CSAI,"CLOUDASTRUCTURE, INC.",Technology,0001709628,1.37,40651426.0,2275813.4,8-K,2025-11-03,2,Corporate event / guidance / financing,2025-11-03 8-K https://www.sec.gov/ix?doc=/Archives/edgar/data/1709628/000168316825007911/cloudastructure_8k.htm,Pass,8-K,2025-11-03,2,https://www.sec.gov/ix?doc=/Archives/edgar/data/1709628/000168316825007911/cloudastructure_8k.htm,3.591732,3.59,7733000.0,7733000.0,2153000.0,2153000.0,interim,2025-08-14 10-Q https://www.sec.gov/ix?doc=/Archives/edgar/data/1709628/000168316825006169/cloud_i10q-063025.htm | values parsed from XBRL: https://www.sec.gov/Archives/edgar/data/1709628/000168316825006169/cloud_i10q-063025.htm,323.0,3-6q,10-Q,2025-08-14,83,https://www.sec.gov/ix?doc=/Archives/edgar/data/1709628/000168316825006169/cloud_i10q-063025.htm,Pass,True,2025-08-27 424B3 https://www.sec.gov/ix?doc=/Archives/edgar/data/1709628/000168316825006493/cloudastructure_424b3.htm,Pass (Offering),424B3; S-8; 424B4,,424B3,2025-08-27,70,https://www.sec.gov/ix?doc=/Archives/edgar/data/1709628/000168316825006493/cloudastructure_424b3.htm,2025-08-27 424B3 https://www.sec.gov/ix?doc=/Archives/edgar/data/1709628/000168316825006493/cloudastructure_424b3.htm; 2025-05-22 S-8 https://www.sec.gov/ix?doc=/Archives/edgar/data/1709628/000168316825003938/cloudastructure_s8.htm; 2025-05-16 424B3 https://www.sec.gov/ix?doc=/Archives/edgar/data/1709628/000168316825003799/cloudastructure_424b3.htm; 2025-05-16 424B3 https://www.sec.gov/ix?doc=/Archives/edgar/data/1709628/000168316825003798/cloudastructure_424b3.htm; 2025-05-16 424B3 https://www.sec.gov/ix?doc=/Archives/edgar/data/1709628/000168316825003797/cloudastructure_424b3.htm; 2025-05-15 424B3 https://www.sec.gov/ix?doc=/Archives/edgar/data/1709628/000168316825003714/cloudastructure_424b3.htm; 2025-04-01 424B3 https://www.sec.gov/ix?doc=/Archives/edgar/data/1709628/000168316825002174/cloud_424b3-282038.htm; 2025-04-01 424B3 https://www.sec.gov/ix?doc=/Archives/edgar/data/1709628/000168316825002172/cloud_424b3-284717.htm; 2025-04-01 424B3 https://www.sec.gov/ix?doc=/Archives/edgar/data/1709628/000168316825002163/cloud_424b3-282038.htm; 2025-04-01 424B3 https://www.sec.gov/ix?doc=/Archives/edgar/data/1709628/000168316825002161/cloud_424b3-284717.htm; 2025-04-01 424B3 https://www.sec.gov/ix?doc=/Archives/edgar/data/1709628/000168316825002159/cloud_424b-282038.htm; 2025-04-01 424B3 https://www.sec.gov/ix?doc=/Archives/edgar/data/1709628/000168316825002157/cloud_424b-284717.htm; 2025-02-19 424B4 https://www.sec.gov/ix?doc=/Archives/edgar/data/1709628/000168316825001090/cloudastructure_424b4.htm; 2025-01-31 424B4 https://www.sec.gov/ix?doc=/Archives/edgar/data/1709628/000168316825000623/cloudastructure_424b4.htm,2025-07-22 DEF 14A https://www.sec.gov/ix?doc=/Archives/edgar/data/1709628/000168316825005286/cloud_def14a.htm,Pass,DEF 14A,2025-07-22,106,https://www.sec.gov/ix?doc=/Archives/edgar/data/1709628/000168316825005286/cloud_def14a.htm,2025-07-22 DEF 14A https://www.sec.gov/ix?doc=/Archives/edgar/data/1709628/000168316825005286/cloud_def14a.htm; 2025-01-28 8-A12B https://www.sec.gov/ix?doc=/Archives/edgar/data/1709628/000168316825000557/cloud_8a12b.htm,2025-07-22 DEF 14A https://www.sec.gov/ix?doc=/Archives/edgar/data/1709628/000168316825005286/cloud_def14a.htm,False,False,,,Missing,,0,False,,Missing,,High,Catalyst; Dilution; Governance,3,Active,4/6,Pass,Pass,Pass,Pass,Missing,Missing,,None,False
